Player Name,Yearly Salary,Nationality
David De Gea,"19,500,000",Spain
Raphaël Varane,"18,200,000",France
Casemiro,"15,600,000",Brazil
Jadon Sancho,"14,300,000",England
Bruno Fernandes,"13,000,000",Portugal
Anthony Martial,"13,000,000",France
Marcus Rashford,"11,700,000",England
Harry Maguire,"10,400,000",England
Christian Eriksen,"8,840,000",Denmark
Mason Mount,"8,840,000",England
Luke Shaw,"8,840,000",England
,,
Victor Lindelöf,"8,840,000",Sweden
Antony,"7,800,000",Brazil
Donny van de Beek,"7,280,000",Holland
Fred,"6,760,000",Brazil
Lisandro Martínez,"6,240,000",Argentina
Phil Jones,"5,720,000",England
Marcel Sabitzer,"5,616,000",Austria
Aaron Wan-Bissaka,"5,200,000",England
Scott McTominay,"4,056,000",Scotland
Tom Heaton,"3,224,000",England
,,
Brandon Williams,"2,756,000",England
Axel Tuanzebe,"2,496,000",England
Tyrell Malacia,"2,444,000",Holland
Martin Dúbravka,"2,288,000",Slovakia
Anthony Elanga,"2,236,000",Sweden
Alex Telles,"2,132,000",Brazil
Jack Butland,"1,820,000",England
Diogo Dalot,"1,664,000",Portugal
Wout Weghorst,"1,612,000",Netherlands
