Name,POS,Age,Nationality,Appearances,Saves,Assists,Fouls Committed,Fouls Suffered,Yellow Cards,Red Cards,Total Goals,Shots,Shots On Target
David de Gea1,G,32,Spain,38,80,0,0,5,0,0,0,0,0
Tom Heaton22,G,37,England,0,0,0,0,0,0,0,0,0,0
Nathan Bishop30,G,23,England,0,0,0,0,0,0,0,0,0,0
Jack Butland31,G,30,England,0,0,0,0,0,0,0,0,0,0
Radek Vítek50,G,19,Czech Republic,0,0,0,0,0,0,0,0,0,0
Victor Lindelöf2,D,29,Sweden,20,0,0,10,4,1,0,0,3,0
Phil Jones4,D,31,England,0,0,0,0,0,0,0,0,0,0
Harry Maguire5,D,30,England,16,0,0,8,4,4,0,0,3,0
Lisandro Martínez6,D,25,Argentina,27,0,0,20,10,6,0,1,9,1
Tyrell Malacia12,D,23,Netherlands,22,0,0,38,14,6,0,0,5,1
Raphaël Varane19,D,30,France,24,0,0,12,3,1,0,0,7,4
Diogo Dalot20,D,24,Portugal,26,0,2,21,3,6,0,1,22,8
Luke Shaw23,D,28,England,31,0,3,45,27,8,0,1,13,3
Aaron Wan-Bissaka29,D,25,England,19,0,0,11,1,2,0,0,10,2
Brandon Williams33,D,22,England,0,0,0,0,0,0,0,0,0,0
Marc Jurado Gomez63,D,19,Spain,0,0,0,0,0,0,0,0,0,0
Rhys Bennett66,D,19,England,0,0,0,0,0,0,0,0,0,0
Bruno Fernandes8,M,28,Portugal,37,0,8,42,40,6,0,8,90,28
Christian Eriksen14,M,31,Denmark,28,0,8,13,10,3,0,1,37,8
Marcel Sabitzer15,M,29,Austria,11,0,1,8,10,1,0,0,11,3
Fred17,M,30,Brazil,35,0,2,33,22,6,0,2,26,5
Casemiro18,M,31,Brazil,28,0,3,48,24,7,2,4,34,11
Facundo Pellistri28,M,21,Uruguay,4,0,0,1,2,0,0,0,0,0
Donny van de Beek34,M,26,Netherlands,7,0,0,4,2,0,0,0,1,0
Scott McTominay39,M,26,Scotland,24,0,0,28,17,8,0,1,12,5
Zidane Iqbal55,M,20,Iraq,0,0,0,0,0,0,0,0,0,0
Kobbie Mainoo73,M,18,England,1,0,0,0,0,0,0,0,0,0
Anthony Martial9,F,27,France,21,0,2,7,13,0,0,6,27,13
Marcus Rashford10,F,25,England,35,0,5,13,23,2,0,17,106,44
Antony21,F,23,Brazil,25,0,2,15,25,5,0,4,70,24
Jadon Sancho25,F,23,England,26,0,3,9,10,0,0,6,21,9
Wout Weghorst27,F,30,Netherlands,17,0,1,12,9,1,0,0,13,4
Anthony Elanga36,F,21,Sweden,16,0,1,3,7,0,0,0,9,3
Alejandro Garnacho49,F,19,Argentina,19,0,2,8,8,3,0,3,23,9
