Player,Position,Nationality
,,
David de Gea,Goalkeeper,Spain
Lee Grant,Goalkeeper,England
Tom Heaton,Goalkeeper,England
Dean Henderson,Goalkeeper,England
Victor Lindelöf,Defender,Sweden
Eric Bailly,Defender,Cote D’Ivoire
Phil Jones,Defender,England
Harry Maguire,Defender,England
Raphaël Varane,Defender,France
Diogo Dalot,Defender,Portugal
Luke Shaw,Defender,England
Alex Telles,Defender,Brazil
Aaron Wan-Bissaka,Defender,England
Bjorn Hardley,Defender,Netherlands
Álvaro Fernández,Defender,Spain
Paul Pogba,Midfielder,France
Juan Mata,Midfielder,Spain
Jesse Lingard,Midfielder,England
Fred,Midfielder,Brazil
Bruno Fernandes,Midfielder,Portugal
Nemanja Matic,Midfielder,Serbia
Scott McTominay,Midfielder,Scotland
Hannibal Mejbri,Midfielder,Tunisia
Alejandro Garnacho,Forward,Argentina
Cristiano Ronaldo,Forward,Portugal
Marcus Rashford,Forward,England
Mason Greenwood,Forward,England
Edinson Cavani,Forward,Uruguay
Jadon Sancho,Forward,England
Anthony Elanga,Forward,Sweden
Amad Diallo,Forward,Cote D’Ivoire
Dan James,Midfielder,Wales
Andreas Pereira,Midfielder,Brazil
Axel Tuanzebe,Defender,England
Facundo Pellistri,Midfielder,Uruguay
Donny van de Beek,Midfielder,Netherlands
James Garner,Midfielder,England
Anthony Martial,Forward,France
Tyrell Malacia,Defender,Netherlands
Ethan Laird,Defender,England
Tahith Chong,Midfielder,Netherlands
Christian Eriksen,Midfielder,Denmark
Lisandro Martínez,Defender,Argentina
William Fish,Defender,England
Isak Hansen-Aaröen,Midfielder,Norway
Charlie Wellens,Midfielder,England
Shola Shoretire,Forward,England
Casemiro,Midfielder,Brazil
Teden Mengi,Defender,England
Antony,Forward,Brazil
Matej Kovár,Goalkeeper,
Martin Dúbravka,Goalkeeper,Slovakia
Tyler Fredricson,Defender,England
Zidane Iqbal,Midfielder,Iraq
Charlie McNeill,Forward,England
Radek Vítek,Goalkeeper,
Kobbie Mainoo,Midfielder,England
Nathan Bishop,Goalkeeper,England
Di'Shon Bernard,Defender,Jamaica
Marc Jurado,Defender,Spain
Rhys Bennett,Defender,England
Sam Murray,Defender,England
Daniel Gore,Midfielder,England
Charlie Savage,Midfielder,Wales
Maximillian Oyedele,Midfielder,England
Joe Hugill,Forward,England
Noam Emeran,Forward,France
Brandon Williams,Defender,England
Jack Butland,Goalkeeper,England
Wout Weghorst,Forward,Netherlands
Marcel Sabitzer,Midfielder,Austria
Amad Diallo,Forward,Cote D’Ivoire
